Cost: 71868
195 189 1151
146 60 1148
22 47 1340
18 229 1847
108 389 1979
69 359 1840
159 331 1322
193 501 1290
41 550 1241
139 772 1422
68 922 1647
46 1065 1451
115 893 1198
118 1229 1036
59 1172 933
51 1479 1027
0 1355 1796
117 1199 1948
143 1417 1961
183 1838 1943
89 1922 1845
186 2121 1641
23 2005 1631
137 1902 1390
176 1774 1020
80 1823 868
79 1852 682
63 1972 616
94 2237 764
124 2337 850
152 2549 554
97 2465 426
1 2524 387
101 2504 302
2 2769 430
120 3016 260
129 3023 557
55 3144 924
49 2943 1341
102 2866 1409
148 2498 1204
9 2662 1405
62 2678 1417
144 2898 1609
14 3088 1482
178 3134 1169
106 3171 1147
165 3576 1287
90 3991 1300
81 3901 849
196 3688 759
40 3585 1109
119 3587 1123
185 3469 1080
52 3166 973
57 3134 746
92 3174 606
179 3369 697
145 3400 530
78 3399 405
31 3697 324
56 3796 244
113 3819 191
175 3828 57
171 3726 56
16 3562 3
25 3209 224
44 3134 177
75 2614 132
86 2398 214
26 2371 371
100 2343 360
53 2097 299
154 1878 234
180 1913 314
70 1639 4
135 1651 164
133 1675 616
151 1525 726
162 1416 553
127 1311 113
123 1199 322
149 993 581
131 949 576
65 928 782
116 883 826
43 724 765
42 583 895
184 518 452
84 656 226
112 816 83
4 661 87
190 373 80
10 249 47
177 263 208
54 165 413
48 227 534
160 307 671
34 43 770
181 314 954
