Cost: 229695
160 307 671
120 3016 260
198 910 1383
60 1285 1233
0 1355 1796
9 2662 1405
57 3134 746
86 2398 214
101 2504 302
128 2759 1067
52 3166 973
26 2371 371
195 189 1151
125 2605 556
99 2246 490
2 2769 430
6 1748 185
42 583 895
110 707 1513
184 518 452
109 1410 1050
148 2498 1204
98 3954 681
172 2861 825
97 2465 426
193 501 1290
96 664 1058
17 3734 657
189 2298 573
102 2866 1409
91 3430 746
194 1514 277
61 2667 1503
152 2549 554
50 3846 256
3 3131 1199
14 3088 1482
90 3991 1300
68 922 1647
23 2005 1631
131 949 576
100 2343 360
151 1525 726
129 3023 557
49 2943 1341
58 3855 1808
81 3901 849
190 373 80
147 262 362
79 1852 682
197 973 984
140 864 1933
34 43 770
29 990 47
139 772 1422
162 1416 553
4 661 87
19 2346 573
105 849 777
117 1199 1948
65 928 782
46 1065 1451
108 389 1979
156 932 34
122 1954 737
124 2337 850
142 499 1421
153 1508 1818
1 2524 387
176 1774 1020
54 165 413
16 3562 3
55 3144 924
132 2959 1856
145 3400 530
44 3134 177
32 3125 1312
150 2540 260
7 3650 1882
66 1642 1125
76 1842 1709
135 1651 164
47 901 745
169 3661 867
138 3226 1399
188 3848 355
179 3369 697
136 2065 430
63 1972 616
133 1675 616
77 816 696
107 3983 1428
40 3585 1109
103 11 1064
173 1795 337
186 2121 1641
175 3828 57
134 56 1957
177 263 208
123 1199 322
