Cost: 52319
16 119 890
1 278 832
117 513 566
31 632 506
54 637 536
193 579 472
190 667 101
80 673 52
175 1131 69
5 1191 249
177 1450 398
36 1677 73
61 1736 127
141 2098 6
77 2282 296
153 2717 358
163 3078 311
176 3281 586
113 3325 479
166 3525 715
86 3382 964
185 3525 1112
179 3749 1066
94 3944 1385
47 3907 1503
148 3825 1576
20 3731 1803
60 3979 1762
28 3485 1906
140 3287 1689
183 3276 1559
152 2909 1748
18 2954 1253
62 2964 1170
124 2932 989
106 2905 891
143 2702 900
0 2249 1105
29 2154 1156
109 2279 1148
35 2314 1089
33 1893 1017
138 1706 1019
11 1777 1185
168 1848 1559
169 1713 1818
188 1622 1862
70 2012 1975
3 2116 1873
145 2043 1713
15 2085 1797
155 2452 1841
189 2383 1648
34 2834 1384
55 2959 1326
95 3370 1235
130 3461 1269
99 3586 1263
22 3619 1219
66 3928 1338
154 3958 1389
57 3999 1093
172 3848 995
194 3437 588
103 3241 318
127 3238 171
89 3196 229
137 3433 28
114 3431 256
165 3139 124
187 2813 30
146 2640 88
81 2453 462
111 2184 746
8 1946 680
104 1842 787
21 1820 435
82 2005 510
144 1992 864
160 1978 992
139 1680 1260
182 1595 1058
25 1309 801
121 846 1034
90 767 1474
122 425 1514
135 277 1305
63 32 1428
40 7 1897
107 73 1855
100 114 1710
133 514 1770
10 592 1848
147 1085 1811
6 1456 1804
134 1424 1502
51 1000 1347
98 1116 1294
118 1204 1227
74 1300 1251
