Cost: 44609
197 254 827
1 278 832
156 297 653
198 441 604
117 513 566
54 637 536
31 632 506
193 579 472
73 700 487
136 783 317
190 667 101
80 673 52
162 902 44
175 1131 69
78 1152 93
142 1120 129
45 1060 195
5 1191 249
177 1450 398
104 1842 787
8 1946 680
144 1992 864
111 2184 746
82 2005 510
21 1820 435
61 1736 127
36 1677 73
91 1856 126
141 2098 6
77 2282 296
81 2453 462
153 2717 358
187 2813 30
163 3078 311
89 3196 229
127 3238 171
137 3433 28
114 3431 256
103 3241 318
113 3325 479
180 3274 562
176 3281 586
194 3437 588
166 3525 715
86 3382 964
95 3370 1235
130 3461 1269
99 3586 1263
22 3619 1219
185 3525 1112
179 3749 1066
66 3928 1338
94 3944 1385
47 3907 1503
148 3825 1576
60 3979 1762
20 3731 1803
28 3485 1906
149 3388 1945
4 3337 1928
140 3287 1689
183 3276 1559
152 2909 1748
170 2829 1619
34 2834 1384
55 2959 1326
18 2954 1253
62 2964 1170
124 2932 989
106 2905 891
143 2702 900
35 2314 1089
109 2279 1148
0 2249 1105
29 2154 1156
160 1978 992
33 1893 1017
138 1706 1019
182 1595 1058
11 1777 1185
139 1680 1260
168 1848 1559
195 1882 1616
145 2043 1713
15 2085 1797
3 2116 1873
70 2012 1975
13 1889 1720
132 1833 1789
169 1713 1818
188 1622 1862
6 1456 1804
147 1085 1811
191 817 1510
90 767 1474
51 1000 1347
121 846 1034
131 555 1117
135 277 1305
63 32 1428
