Cost: 48765
80 673 52
162 902 44
175 1131 69
78 1152 93
142 1120 129
36 1677 73
61 1736 127
91 1856 126
141 2098 6
97 2352 181
187 2813 30
165 3139 124
127 3238 171
89 3196 229
103 3241 318
137 3433 28
114 3431 256
113 3325 479
194 3437 588
166 3525 715
179 3749 1066
185 3525 1112
99 3586 1263
130 3461 1269
22 3619 1219
66 3928 1338
94 3944 1385
47 3907 1503
148 3825 1576
60 3979 1762
20 3731 1803
28 3485 1906
149 3388 1945
4 3337 1928
140 3287 1689
183 3276 1559
152 2909 1748
170 2829 1619
34 2834 1384
55 2959 1326
18 2954 1253
62 2964 1170
124 2932 989
106 2905 891
128 3079 1029
95 3370 1235
86 3382 964
176 3281 586
180 3274 562
163 3078 311
153 2717 358
81 2453 462
77 2282 296
21 1820 435
87 1866 460
82 2005 510
8 1946 680
56 1911 804
144 1992 864
111 2184 746
0 2249 1105
35 2314 1089
109 2279 1148
29 2154 1156
160 1978 992
33 1893 1017
49 1904 1118
11 1777 1185
43 1654 1486
134 1424 1502
147 1085 1811
6 1456 1804
188 1622 1862
169 1713 1818
132 1833 1789
13 1889 1720
161 1973 1935
70 2012 1975
3 2116 1873
15 2085 1797
145 2043 1713
195 1882 1616
168 1848 1559
139 1680 1260
182 1595 1058
138 1706 1019
104 1842 787
25 1309 801
177 1450 398
5 1191 249
45 1060 195
136 783 317
73 700 487
164 655 486
31 632 506
54 637 536
117 513 566
198 441 604
193 579 472
190 667 101
