Cost: 190365
136 783 317
117 513 566
114 3431 256
116 990 1092
110 3208 1020
134 1424 1502
198 441 604
124 2932 989
113 3325 479
144 1992 864
177 1450 398
135 277 1305
92 35 1248
81 2453 462
49 1904 1118
80 673 52
123 1306 516
18 2954 1253
159 2711 851
89 3196 229
95 3370 1235
26 3278 370
48 3793 578
169 1713 1818
141 2098 6
107 73 1855
59 3624 1821
33 1893 1017
78 1152 93
167 2446 1648
152 2909 1748
183 3276 1559
146 2640 88
145 2043 1713
64 3217 791
32 240 1344
82 2005 510
173 905 550
138 1706 1019
28 3485 1906
160 1978 992
170 2829 1619
155 2452 1841
122 425 1514
119 2735 684
196 234 358
193 579 472
154 3958 1389
70 2012 1975
84 2347 1997
126 1822 1668
168 1848 1559
195 1882 1616
1 278 832
102 129 1293
27 2 879
62 2964 1170
4 3337 1928
38 70 984
13 1889 1720
112 845 885
21 1820 435
73 700 487
54 637 536
164 655 486
197 254 827
103 3241 318
60 3979 1762
52 3784 960
68 2040 690
44 449 1756
63 32 1428
36 1677 73
55 2959 1326
85 1365 1457
157 1690 787
0 2249 1105
180 3274 562
24 321 724
109 2279 1148
15 2085 1797
34 2834 1384
20 3731 1803
194 3437 588
56 1911 804
79 1770 132
171 1601 634
156 297 653
120 977 1482
166 3525 715
165 3139 124
66 3928 1338
142 1120 129
72 219 1778
175 1131 69
137 3433 28
76 3688 376
181 3209 1224
43 1654 1486
147 1085 1811
