cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
45926,48.906,86.074,55.0,88.0
45937,48.27,83.824,60.0,88.0
45940,47.87,84.782,57.0,87.0
46182,48.464,85.63,50.0,87.0
46188,48.666,85.394,51.0,86.0
46211,45.007,84.166,47.0,85.0
46290,44.885,82.339,60.0,88.0
46316,47.742,84.279,55.0,87.0
46328,49.312,85.565,54.0,87.0
46341,48.161,85.227,58.0,87.0
46363,47.799,86.18,59.0,88.0
46398,46.231,85.506,55.0,87.0
46447,44.382,82.848,59.0,88.0
46473,46.41,84.364,56.0,88.0
46474,46.911,83.914,57.0,87.0
46486,46.421,84.402,53.0,86.0
46487,45.64,83.875,48.0,87.0
46504,46.018,83.432,61.0,88.0
46525,46.205,84.079,54.0,86.0
46533,46.893,84.152,55.0,84.0
46545,47.647,83.546,58.0,87.0
46579,46.428,84.179,57.0,87.0
46596,46.186,85.12,53.0,87.0
46657,44.83,83.008,57.0,87.0
46672,47.199,84.094,57.0,86.0
46673,43.669,84.923,54.0,86.0
46677,44.413,83.148,57.0,88.0
46695,45.556,82.722,58.0,86.0
46701,43.577,82.391,52.0,85.0
46715,43.225,84.11,49.0,89.0
46724,44.606,83.023,54.0,85.0
46729,46.899,82.969,59.0,86.0
46733,48.029,85.319,51.0,85.0
46735,46.388,84.307,56.0,89.0
46762,45.439,82.962,54.0,88.0
46771,45.61,84.466,59.0,87.0
46777,44.153,83.52,51.0,84.0
46779,41.896,82.409,57.0,88.0
46782,44.721,84.16,56.0,87.0
46785,44.866,84.658,50.0,86.0
46788,47.979,84.91,48.0,85.0
46815,45.974,83.978,57.0,88.0
46817,47.035,85.269,55.0,89.0
46849,44.279,84.308,51.0,87.0
46852,47.458,84.0,58.0,87.0
46854,43.824,83.954,57.0,89.0
46857,44.881,85.306,54.0,87.0
46858,45.288,82.672,55.0,88.0
46864,44.926,83.338,54.0,87.0
46868,46.103,85.674,56.0,88.0
46896,45.4975,83.569,57.0,87.0
46908,44.028,83.244,55.0,88.0
46911,42.866,83.77,50.0,86.0
46925,48.422,84.791,54.0,86.0
46926,46.995,83.963,58.0,87.0
46930,45.421,84.125,52.0,87.0
46938,46.381,84.431,54.0,85.0
46940,44.396,82.978,51.0,84.0
46941,45.725,84.496,59.0,90.0
46943,43.676,82.634,44.0,83.0
46969,46.964,84.392,46.0,83.0
46970,44.541,84.036,53.0,87.0
46974,46.558,83.135,59.0,89.0
46989,46.922,84.496,56.0,86.0
46994,45.686,84.532,56.0,89.0
47000,45.469,83.592,60.0,89.0
47006,46.575,83.503,54.0,88.0
47012,45.245,83.757,48.0,84.0
47016,44.159,83.472,55.0,86.0
47026,44.878,83.105,56.0,87.0
47030,45.709,84.317,55.0,86.0
47032,44.345,83.009,48.0,84.0
47037,42.523,83.605,60.0,86.0
47040,45.658,83.671,60.0,88.0
47048,48.979,85.358,62.0,85.0
47058,45.448,82.96,49.0,85.0
47062,45.752,84.502,51.0,86.0
47064,47.143,84.769,52.0,84.0
47065,45.822,84.232,46.0,86.0
47070,43.814,81.802,52.0,86.0
47073,46.791,85.145,52.0,86.0
47074,45.6145,82.731,54.0,84.5
47082,44.765,84.492,48.0,85.0
47083,45.866,83.253,55.0,87.0
47086,45.935,85.33,51.0,86.0
47097,46.237,84.129,50.0,86.0
47101,44.964,85.382,45.0,86.0
47102,43.815,84.144,53.0,90.0
47109,45.453,84.541,56.0,86.0
47110,44.229,82.417,57.0,85.0
47116,47.37,84.555,49.0,84.0
47129,44.71,83.988,57.0,86.0
47135,43.406,82.336,57.0,86.0
47144,42.09,82.825,50.0,88.0
47152,45.274,86.891,50.0,90.0
47156,44.9715,83.3425,54.5,87.5
