Cost: 83182
124 2337 850
94 2237 764
63 1972 616
53 2097 299
180 1913 314
154 1878 234
135 1651 164
123 1199 322
65 928 782
116 883 826
59 1172 933
115 893 1198
139 772 1422
193 501 1290
41 550 1241
42 583 895
160 307 671
34 43 770
22 47 1340
18 229 1847
108 389 1979
69 359 1840
159 331 1322
181 314 954
184 518 452
177 263 208
54 165 413
30 97 409
48 227 534
43 724 765
151 1525 726
176 1774 1020
80 1823 868
79 1852 682
133 1675 616
162 1416 553
51 1479 1027
137 1902 1390
183 1838 1943
143 1417 1961
0 1355 1796
117 1199 1948
46 1065 1451
68 922 1647
93 939 1962
140 864 1933
36 771 1904
163 535 1791
199 262 1669
146 60 1148
195 189 1151
103 11 1064
5 628 974
96 664 1058
118 1229 1036
149 993 581
131 949 576
112 816 83
4 661 87
84 656 226
35 729 356
10 249 47
190 373 80
127 1311 113
70 1639 4
101 2504 302
97 2465 426
1 2524 387
152 2549 554
120 3016 260
78 3399 405
145 3400 530
185 3469 1080
40 3585 1109
165 3576 1287
90 3991 1300
81 3901 849
113 3819 191
175 3828 57
171 3726 56
16 3562 3
31 3697 324
44 3134 177
92 3174 606
57 3134 746
106 3171 1147
49 2943 1341
144 2898 1609
62 2678 1417
14 3088 1482
178 3134 1169
52 3166 973
55 3144 924
129 3023 557
2 2769 430
75 2614 132
86 2398 214
26 2371 371
100 2343 360
121 2218 431
