Cost: 78896
118 1229 1036
51 1479 1027
176 1774 1020
137 1902 1390
183 1838 1943
89 1922 1845
23 2005 1631
186 2121 1641
143 1417 1961
117 1199 1948
93 939 1962
140 864 1933
0 1355 1796
80 1823 868
151 1525 726
162 1416 553
133 1675 616
63 1972 616
79 1852 682
94 2237 764
124 2337 850
53 2097 299
97 2465 426
26 2371 371
100 2343 360
152 2549 554
1 2524 387
2 2769 430
120 3016 260
44 3134 177
25 3209 224
78 3399 405
16 3562 3
171 3726 56
175 3828 57
113 3819 191
56 3796 244
31 3697 324
145 3400 530
179 3369 697
92 3174 606
129 3023 557
57 3134 746
185 3469 1080
106 3171 1147
52 3166 973
55 3144 924
178 3134 1169
49 2943 1341
102 2866 1409
14 3088 1482
62 2678 1417
9 2662 1405
148 2498 1204
144 2898 1609
40 3585 1109
119 3587 1123
81 3901 849
196 3688 759
165 3576 1287
90 3991 1300
101 2504 302
86 2398 214
75 2614 132
180 1913 314
154 1878 234
135 1651 164
70 1639 4
123 1199 322
112 816 83
4 661 87
84 656 226
127 1311 113
59 1172 933
65 928 782
149 993 581
131 949 576
116 883 826
43 724 765
42 583 895
181 314 954
160 307 671
54 165 413
30 97 409
177 263 208
10 249 47
190 373 80
184 518 452
34 43 770
193 501 1290
159 331 1322
22 47 1340
146 60 1148
18 229 1847
108 389 1979
41 550 1241
139 772 1422
46 1065 1451
68 922 1647
115 893 1198
