Cost: 71488
0 1355 1796
46 1065 1451
68 922 1647
139 772 1422
193 501 1290
41 550 1241
115 893 1198
5 628 974
42 583 895
181 314 954
159 331 1322
69 359 1840
108 389 1979
18 229 1847
22 47 1340
146 60 1148
34 43 770
160 307 671
48 227 534
54 165 413
30 97 409
177 263 208
10 249 47
190 373 80
4 661 87
112 816 83
84 656 226
35 729 356
184 518 452
43 724 765
116 883 826
65 928 782
59 1172 933
118 1229 1036
51 1479 1027
151 1525 726
133 1675 616
162 1416 553
123 1199 322
127 1311 113
70 1639 4
135 1651 164
180 1913 314
154 1878 234
53 2097 299
100 2343 360
26 2371 371
86 2398 214
75 2614 132
44 3134 177
25 3209 224
16 3562 3
171 3726 56
175 3828 57
113 3819 191
56 3796 244
31 3697 324
78 3399 405
145 3400 530
179 3369 697
92 3174 606
57 3134 746
52 3166 973
185 3469 1080
119 3587 1123
40 3585 1109
196 3688 759
81 3901 849
90 3991 1300
165 3576 1287
106 3171 1147
178 3134 1169
14 3088 1482
144 2898 1609
62 2678 1417
9 2662 1405
148 2498 1204
102 2866 1409
49 2943 1341
55 3144 924
129 3023 557
120 3016 260
2 2769 430
101 2504 302
1 2524 387
97 2465 426
152 2549 554
124 2337 850
94 2237 764
63 1972 616
79 1852 682
80 1823 868
176 1774 1020
137 1902 1390
23 2005 1631
186 2121 1641
89 1922 1845
183 1838 1943
143 1417 1961
117 1199 1948
