Cost: 242816
120 3016 260
61 2667 1503
2 2769 430
84 656 226
77 816 696
182 2088 453
119 3587 1123
42 583 895
11 681 385
90 3991 1300
187 3903 911
59 1172 933
114 2286 1740
190 373 80
131 949 576
117 1199 1948
41 550 1241
30 97 409
142 499 1421
102 2866 1409
23 2005 1631
145 3400 530
64 2401 1778
49 2943 1341
177 263 208
75 2614 132
7 3650 1882
46 1065 1451
57 3134 746
152 2549 554
100 2343 360
126 892 93
162 1416 553
67 554 1946
12 2219 964
156 932 34
38 3660 427
174 3797 990
52 3166 973
171 3726 56
36 771 1904
14 3088 1482
94 2237 764
148 2498 1204
40 3585 1109
198 910 1383
160 307 671
44 3134 177
13 3741 252
130 2207 907
97 2465 426
18 229 1847
140 864 1933
172 2861 825
24 1067 407
136 2065 430
54 165 413
8 3474 1230
185 3469 1080
150 2540 260
43 724 765
76 1842 1709
163 535 1791
197 973 984
70 1639 4
159 331 1322
83 2133 1803
127 1311 113
121 2218 431
181 314 954
58 3855 1808
183 1838 1943
155 2935 1553
56 3796 244
133 1675 616
31 3697 324
15 2428 1551
186 2121 1641
176 1774 1020
158 2032 230
161 1414 472
141 1521 1224
180 1913 314
132 2959 1856
32 3125 1312
103 11 1064
47 901 745
154 1878 234
65 928 782
80 1823 868
93 939 1962
10 249 47
16 3562 3
189 2298 573
123 1199 322
89 1922 1845
179 3369 697
91 3430 746
62 2678 1417
92 3174 606
