Cost: 52992
10 592 1848
133 514 1770
122 425 1514
90 767 1474
51 1000 1347
121 846 1034
117 513 566
198 441 604
1 278 832
38 70 984
27 2 879
31 632 506
73 700 487
193 579 472
190 667 101
80 673 52
175 1131 69
78 1152 93
142 1120 129
45 1060 195
5 1191 249
177 1450 398
36 1677 73
61 1736 127
91 1856 126
141 2098 6
77 2282 296
81 2453 462
153 2717 358
187 2813 30
163 3078 311
89 3196 229
103 3241 318
114 3431 256
127 3238 171
165 3139 124
137 3433 28
176 3281 586
166 3525 715
194 3437 588
86 3382 964
185 3525 1112
95 3370 1235
130 3461 1269
99 3586 1263
62 2964 1170
124 2932 989
106 2905 891
143 2702 900
0 2249 1105
35 2314 1089
109 2279 1148
29 2154 1156
33 1893 1017
160 1978 992
144 1992 864
8 1946 680
82 2005 510
21 1820 435
104 1842 787
111 2184 746
138 1706 1019
182 1595 1058
11 1777 1185
139 1680 1260
168 1848 1559
195 1882 1616
145 2043 1713
3 2116 1873
155 2452 1841
15 2085 1797
70 2012 1975
169 1713 1818
132 1833 1789
13 1889 1720
188 1622 1862
6 1456 1804
147 1085 1811
18 2954 1253
55 2959 1326
34 2834 1384
152 2909 1748
183 3276 1559
140 3287 1689
20 3731 1803
28 3485 1906
149 3388 1945
4 3337 1928
148 3825 1576
60 3979 1762
47 3907 1503
94 3944 1385
66 3928 1338
179 3749 1066
113 3325 479
54 637 536
135 277 1305
63 32 1428
40 7 1897
107 73 1855
