Cost: 189716
193 579 472
168 1848 1559
153 2717 358
149 3388 1945
123 1306 516
186 2851 343
161 1973 1935
113 3325 479
42 165 550
21 1820 435
103 3241 318
58 2105 393
140 3287 1689
137 3433 28
0 2249 1105
3 2116 1873
172 3848 995
85 1365 1457
62 2964 1170
87 1866 460
124 2932 989
187 2813 30
61 1736 127
47 3907 1503
43 1654 1486
143 2702 900
29 2154 1156
55 2959 1326
163 3078 311
22 3619 1219
25 1309 801
19 810 808
8 1946 680
125 804 1364
120 977 1482
181 3209 1224
71 954 1556
64 3217 791
136 783 317
46 895 10
135 277 1305
126 1822 1668
37 2339 880
134 1424 1502
74 1300 1251
182 1595 1058
141 2098 6
65 1655 1900
106 2905 891
16 119 890
13 1889 1720
33 1893 1017
14 2360 538
27 2 879
178 683 1750
96 170 1403
63 32 1428
35 2314 1089
128 3079 1029
18 2954 1253
119 2735 684
2 1459 1404
174 3115 1498
31 632 506
121 846 1034
11 1777 1185
51 1000 1347
78 1152 93
189 2383 1648
138 1706 1019
66 3928 1338
107 73 1855
156 297 653
83 3014 1243
197 254 827
160 1978 992
129 2991 504
82 2005 510
92 35 1248
198 441 604
105 649 254
97 2352 181
24 321 724
157 1690 787
122 425 1514
90 767 1474
44 449 1756
56 1911 804
67 981 1513
81 2453 462
159 2711 851
88 3334 578
148 3825 1576
170 2829 1619
101 3478 1919
118 1204 1227
158 1118 954
188 1622 1862
109 2279 1148
5 1191 249
